id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
47|Budapest XII. kerület, Krisztinaváros|127 M Ft|1 227 053 Ft / m2|102 m2||3|14|https://ingatlan.com/34604395
48|Budapest II. kerület, Szász Károly utca|146 M Ft|1 339 449 Ft / m2|109 m2||3 + 1 fél|14|https://ingatlan.com/34776982
49|Budapest XII. kerület, Krisztinaváros - Városmajor|131,35 M Ft|2 189 166 Ft / m2|60 m2||3|20|https://ingatlan.com/33584355
50|Budapest XII. kerület, Krisztinaváros - Városmajor|132,53 M Ft|2 172 622 Ft / m2|61 m2||3|13|https://ingatlan.com/33756419
51|Budapest II. kerület, Keleti Károly utca|224,90 M Ft|1 617 985 Ft / m2|135 m2||4|27|https://ingatlan.com/34611577
52|Budapest II. kerület, Vitéz utca|195 M Ft|1 700 087 Ft / m2|111 m2||4|12|https://ingatlan.com/34862726
53|Budapest II. kerület, Buday László utca|185 M Ft|1 284 722 Ft / m2|144 m2||5|25|https://ingatlan.com/34305142
54|Budapest XII. kerület, Schwartzer Ferenc utca|64,90 M Ft|1 298 000 Ft / m2|50 m2||3|4|https://ingatlan.com/34509110
55|Budapest II. kerület, Országút|450 M Ft|3 260 869 Ft / m2|125 m2||4|17|https://ingatlan.com/34612215
56|Budapest II. kerület, Retek utca 5.|138 M Ft|1 604 651 Ft / m2|84 m2||3 + 1 fél|19|https://ingatlan.com/34871269
57|Budapest XII. kerület, Krisztinaváros|148,90 M Ft|1 408 037 Ft / m2|102 m2||3|10|https://ingatlan.com/34850806
58|Budapest XII. kerület, Szamos utca|142,80 M Ft|1 457 142 Ft / m2|94 m2||3|9|https://ingatlan.com/34813091
60|Budapest II. kerület, Országút|529 M Ft|3 369 426 Ft / m2|143 m2||5|5|https://ingatlan.com/34919891
61|Budapest II. kerület, Víziváros|119 M Ft|1 803 030 Ft / m2|66 m2||3|9|https://ingatlan.com/34811238
62|Budapest II. kerület, Varsányi Irén utca|149 M Ft|1 632 876 Ft / m2|90 m2||3|13|https://ingatlan.com/34692023
63|Budapest II. kerület, Varsányi Irén utca|195 M Ft|1 625 000 Ft / m2|120 m2||4|13|https://ingatlan.com/34829452
64|Budapest II. kerület, Országút|198 M Ft|1 477 611 Ft / m2|134 m2||3 + 1 fél|18|https://ingatlan.com/34749902
65|Budapest II. kerület, Ezredes utca|129,90 M Ft|1 732 000 Ft / m2|75 m2||2 + 1 fél|2|https://ingatlan.com/34890199
66|Budapest XII. kerület, Gyógyfű utca 17-27.|399 M Ft|3 706 456 Ft / m2|91 m2||4|26|https://ingatlan.com/34662377
67|Budapest II. kerület, Széll Kálmán tér|237,27 M Ft|1 700 846 Ft / m2|134 m2||3|22|https://ingatlan.com/34662519
68|Budapest XII. kerület, Alkotás utca 39.|108 M Ft|1 213 483 Ft / m2|89 m2||2 + 1 fél|12|https://ingatlan.com/34861317
69|Budapest II. kerület, Keleti Károly utca|189 M Ft|1 410 447 Ft / m2|134 m2||3 + 1 fél|20|https://ingatlan.com/34722415
70|Budapest XII. kerület, Krisztina körút 23.|139 M Ft|1 177 966 Ft / m2|118 m2||4|17|https://ingatlan.com/34746137
71|Budapest II. kerület, Margit körút|129 M Ft|1 290 000 Ft / m2|100 m2||3|20|https://ingatlan.com/34426670
72|Budapest II. kerület, Keleti Károly utca|255 M Ft|1 408 839 Ft / m2|175 m2||4 + 1 fél|29|https://ingatlan.com/34248944
73|Budapest II. kerület, Csalogány utca|700 M Ft|4 375 000 Ft / m2|160 m2||4|1|https://ingatlan.com/33620247
74|Budapest XII. kerület, Krisztina körút|139 M Ft|1 177 966 Ft / m2|118 m2||4|8|https://ingatlan.com/34888404
75|Budapest XII. kerület, Maros utca|109,90 M Ft|2 073 584 Ft / m2|53 m2||3|30|https://ingatlan.com/34863623
76|Budapest II. kerület, Országút|174,90 M Ft|1 841 052 Ft / m2|95 m2||3|17|https://ingatlan.com/34792608
77|Budapest XII. kerület, Csaba utca|165 M Ft|1 650 000 Ft / m2|100 m2||4|26|https://ingatlan.com/34787317
78|Budapest II. kerület, Szilágyi Erzsébet fasor|225,00 M Ft|1 363 630 Ft / m2|160 m2||4|9|https://ingatlan.com/34879761
79|Budapest II. kerület, Keleti Károly utca|126 M Ft|1 909 090 Ft / m2|66 m2||3|30|https://ingatlan.com/34935750
80|Budapest II. kerület, Víziváros|129,90 M Ft|1 654 777 Ft / m2|77 m2||3|14|https://ingatlan.com/34721925
82|Budapest II. kerület, Mechwart liget|161 M Ft|1 540 669 Ft / m2|102 m2||2 + 1 fél|11|https://ingatlan.com/34869028
84|Budapest XII. kerület, Krisztinaváros|151,53 M Ft|1 016 997 Ft / m2|149 m2||6|15|https://ingatlan.com/33984657
85|Budapest II. kerület, Víziváros|357 M Ft|3 275 229 Ft / m2|109 m2||4|4|https://ingatlan.com/34786331
86|Budapest II. kerület, Margit körút|179 M Ft|1 543 103 Ft / m2|116 m2||5|19|https://ingatlan.com/34879788
88|Budapest II. kerület, Országút|161 M Ft|1 540 669 Ft / m2|102 m2||2 + 1 fél|11|https://ingatlan.com/34863230
89|Budapest II. kerület, Bem rakpart|73,50 M Ft|1 500 000 Ft / m2|49 m2||2 + 1 fél|9|https://ingatlan.com/34910223
90|Budapest II. kerület, Széll Kálmán tér|107 M Ft|1 685 039 Ft / m2|63 m2||2 + 2 fél|20|https://ingatlan.com/34642720
92|Budapest II. kerület, Kis Rókus utca|1,09 Mrd Ft|1 747 588 Ft / m2|622 m2|622 m2|8 + 2 fél|13|https://ingatlan.com/34710612
93|Budapest II. kerület, Szász Károly utca|195 M Ft|1 625 000 Ft / m2|120 m2||3|12|https://ingatlan.com/34867615
94|Budapest XII. kerület, Krisztinaváros|259,90 M Ft|2 095 967 Ft / m2|123 m2||3|28|https://ingatlan.com/34675610
96|Budapest II. kerület, Bem rakpart|195,40 M Ft|1 684 459 Ft / m2|116 m2||3|27|https://ingatlan.com/34711741
97|Budapest II. kerület, Víziváros|146 M Ft|1 339 449 Ft / m2|109 m2||3 + 1 fél|14|https://ingatlan.com/34844066
98|Budapest II. kerület, Víziváros|797,54 M Ft|5 316 933 Ft / m2|150 m2||4|18|https://ingatlan.com/34711848
99|Budapest II. kerület, Víziváros|199 M Ft|1 990 000 Ft / m2|100 m2||4|22|https://ingatlan.com/33454759
100|Budapest II. kerület, Országút|1,07 Mrd Ft|1 723 874 Ft / m2|622 m2|622 m2|10|16|https://ingatlan.com/34522816
101|Budapest II. kerület, Országút|1,06 Mrd Ft|1 702 529 Ft / m2|622 m2|622 m2|10|16|https://ingatlan.com/34597477
102|Budapest II. kerület, Mechwart tér 3.|150 M Ft|1 481 481 Ft / m2|97 m2||2 + 1 fél|26|https://ingatlan.com/34749271
104|Budapest XII. kerület, Csaba utca|174,90 M Ft|1 534 210 Ft / m2|111 m2||3|16|https://ingatlan.com/34831756
106|Budapest II. kerület, Víziváros|195 M Ft|1 625 000 Ft / m2|120 m2||3|12|https://ingatlan.com/34887139
107|Budapest XII. kerület, Városmajor utca|149,90 M Ft|1 048 251 Ft / m2|139 m2||4 + 1 fél|20|https://ingatlan.com/34890086
108|Budapest II. kerület, Lövőház utca 22.|159 M Ft|1 590 000 Ft / m2|100 m2||3|19|https://ingatlan.com/33217483
109|Budapest XII. kerület, Ugocsa utca 11.|84,90 M Ft|1 391 803 Ft / m2|61 m2||2 + 1 fél|17|https://ingatlan.com/32884874
