id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
213|Budapest XXII. kerület, Rózsakert utca|154,90 M Ft|1 032 666 Ft / m2|150 m2|612 m2||1|https://ingatlan.com/34705625
214|Budapest XXII. kerület, Orkán utca|168 M Ft|1 292 307 Ft / m2|130 m2|305 m2|3 + 3 fél|0|https://ingatlan.com/34665452
215|Budapest XXII. kerület, Kapu utca|225 M Ft|1 071 428 Ft / m2|210 m2|210 m2||0|https://ingatlan.com/34652191
216|Budapest XXII. kerület, Gézavár utca|119 M Ft|850 000 Ft / m2|140 m2|390 m2||0|https://ingatlan.com/34627588
217|Budapest XXII. kerület, Baross Gábor-telep|451 M Ft|959 574 Ft / m2|470 m2|470 m2||30|https://ingatlan.com/34413435
218|Budapest XXII. kerület, Barackos út 7/A.|124 M Ft|1 192 307 Ft / m2|104 m2|900 m2||3|https://ingatlan.com/34163478
219|Budapest XXII. kerület, VIII. utca|107 M Ft|856 000 Ft / m2|125 m2|540 m2||0|https://ingatlan.com/34115139
220|Budapest XXII. kerület, Budafok-Belváros|250 M Ft|1 136 363 Ft / m2|220 m2|220 m2||28|https://ingatlan.com/34901047
221|Budapest XXII. kerület, Tompa utca|349 M Ft|997 142 Ft / m2|350 m2|350 m2|8 + 2 fél|17|https://ingatlan.com/31907525
224|Budapest XXII. kerület, Tordai út 38.|312 M Ft|1 040 000 Ft / m2|300 m2|300 m2||0|https://ingatlan.com/34931706
225|Budapest XXII. kerület, Arany János utca|210 M Ft|985 915 Ft / m2|213 m2|213 m2|5 + 1 fél|3|https://ingatlan.com/34930661
226|Budapest XXII. kerület, Budafok|136,90 M Ft|565 702 Ft / m2|242 m2|242 m2|9 + 2 fél|21|https://ingatlan.com/34925912
229|Budapest XXII. kerület, Tegzes köz|169 M Ft|824 390 Ft / m2|205 m2|205 m2|5 + 1 fél|9|https://ingatlan.com/34909255
230|Budapest XXII. kerület, Kiránduló utca 28.|115 M Ft|1 045 454 Ft / m2|110 m2|280 m2|2 + 1 fél|4|https://ingatlan.com/34908479
231|Budapest XXII. kerület, Kiránduló utca 28.|105 M Ft|954 545 Ft / m2|110 m2|180 m2|4 + 1 fél|25|https://ingatlan.com/34907160
232|Budapest XXII. kerület, Kápolna utca|219,90 M Ft|845 769 Ft / m2|260 m2|260 m2||30|https://ingatlan.com/34902714
233|Budapest XXII. kerület, Péter-Pál köz|250 M Ft|1 136 363 Ft / m2|220 m2|220 m2||30|https://ingatlan.com/34899957
234|Budapest XXII. kerület, Tatárka utca|199 M Ft|1 842 592 Ft / m2|108 m2|760 m2||18|https://ingatlan.com/34899937
