id|cim|teljes_ar|nm_ar|terulet|telekterulet|szobak|kepek_szama|link
150|Budapest XII. kerület, Csillebérc|285,90 M Ft|1 374 519 Ft / m2|208 m2|208 m2||25|https://ingatlan.com/34575883
151|Budapest XII. kerület, Széchenyihegy|499 M Ft|1 188 095 Ft / m2|420 m2|420 m2||25|https://ingatlan.com/33600986
152|Budapest XII. kerület, Csillebérc|449,90 M Ft|1 232 602 Ft / m2|365 m2|365 m2|6 + 2 fél|29|https://ingatlan.com/34598522
153|Budapest XII. kerület, Csillebérc|797,54 M Ft|1 074 851 Ft / m2|742 m2|742 m2||22|https://ingatlan.com/3259975
154|Budapest XII. kerület, Kútvölgyi út|729 M Ft|2 189 189 Ft / m2|333 m2|333 m2||14|https://ingatlan.com/34699024
155|Budapest XII. kerület, Zsigmondy Vilmos utca 13a|410 M Ft|1 952 380 Ft / m2|210 m2|210 m2||30|https://ingatlan.com/34867934
156|Budapest XII. kerület, Magasút|2,31 Mrd Ft|3 248 945 Ft / m2|711 m2|711 m2||1|https://ingatlan.com/34626984
157|Budapest XII. kerület, Csillebérc|145 M Ft|1 124 031 Ft / m2|129 m2|533 m2||22|https://ingatlan.com/33138285
158|Budapest XII. kerület, Széchenyihegy|599 M Ft|2 030 508 Ft / m2|295 m2|295 m2||20|https://ingatlan.com/34109507
159|Budapest XII. kerület, Thomán István utca|459,90 M Ft|1 022 000 Ft / m2|450 m2|450 m2||10|https://ingatlan.com/34002304
160|Budapest XII. kerület, Hangya utca|510 M Ft|1 593 750 Ft / m2|320 m2|320 m2||13|https://ingatlan.com/34754284
161|Budapest XII. kerület, Kissvábhegy|648 M Ft|3 640 449 Ft / m2|178 m2|1245 m2||3|https://ingatlan.com/33938578
162|Budapest XII. kerület, Svábhegy|1,48 Mrd Ft|2 387 096 Ft / m2|620 m2|620 m2||30|https://ingatlan.com/34889405
163|Budapest XII. kerület, Széchenyihegy|274,89 M Ft|1 099 560 Ft / m2|250 m2|250 m2||10|https://ingatlan.com/34715178
164|Budapest XII. kerület, Csillebérc|797,54 M Ft|1 226 984 Ft / m2|650 m2|650 m2||16|https://ingatlan.com/34155606
165|Budapest XII. kerület, Széchenyihegy|690 M Ft|1 811 023 Ft / m2|381 m2|381 m2||4|https://ingatlan.com/34583441
166|Budapest XII. kerület, Diós árok|349 M Ft|1 938 888 Ft / m2|180 m2|763 m2||30|https://ingatlan.com/34904831
167|Budapest XII. kerület, Kútvölgy|399 M Ft|2 493 750 Ft / m2|160 m2|700 m2|4 + 1 fél|16|https://ingatlan.com/33428893
168|Budapest XII. kerület, Farkasvölgy|650 M Ft|1 425 438 Ft / m2|456 m2|456 m2||26|https://ingatlan.com/34786797
169|Budapest XII. kerület, Oltvány köz|780 M Ft|3 120 000 Ft / m2|250 m2|250 m2|4 + 1 fél|18|https://ingatlan.com/34860219
170|Budapest XII. kerület, Hollós út|900 M Ft|1 500 000 Ft / m2|600 m2|600 m2|5 + 5 fél|0|https://ingatlan.com/34328660
171|Budapest XII. kerület, Pinty utca|274,90 M Ft|1 963 571 Ft / m2|140 m2|600 m2||13|https://ingatlan.com/34705770
172|Budapest XII. kerület, Pinty utca|234,90 M Ft|2 042 608 Ft / m2|115 m2|380 m2||12|https://ingatlan.com/34705756
173|Budapest XII. kerület, Farkasrét|1,44 Mrd Ft|2 814 847 Ft / m2|510 m2|510 m2||5|https://ingatlan.com/34598201
174|Budapest XII. kerület, Fodor utca|854 M Ft|1 313 846 Ft / m2|650 m2|650 m2||0|https://ingatlan.com/34599624
175|Budapest XII. kerület, Orbánhegy|460 M Ft|1 022 222 Ft / m2|450 m2|450 m2||14|https://ingatlan.com/33325221
176|Budapest XII. kerület, Moha utca|880 M Ft|1 150 326 Ft / m2|765 m2|765 m2||15|https://ingatlan.com/34604771
177|Budapest XII. kerület, Thomán István utca|459,90 M Ft|1 149 750 Ft / m2|400 m2|400 m2||14|https://ingatlan.com/33266834
178|Budapest XII. kerület, Fodor utca|435 M Ft|1 191 780 Ft / m2|365 m2|365 m2||15|https://ingatlan.com/33837229
179|Budapest XII. kerület, Moha utca|800 M Ft|1 181 683 Ft / m2|677 m2|677 m2||30|https://ingatlan.com/34662286
180|Budapest XII. kerület, Stromfeld Aurél út|600 M Ft|1 127 819 Ft / m2|532 m2|532 m2||15|https://ingatlan.com/33969067
181|Budapest XII. kerület, Orbánhegy|2,07 Mrd Ft|3 514 583 Ft / m2|590 m2|590 m2||1|https://ingatlan.com/33417162
